filename,ZANumber,nodesNumber,atom_mul,atom_connection
MON-PPT 1,2,2,{ZA2:8;ZA1:8},{ZA1:3;ZA2:5}
MOR-PPT 1,4,4,{ZA2:4;ZA4:8;ZA3:4;ZA1:4},{ZA1:12;ZA3:9;ZA4:4;ZA2:5}
MOZ-PPT 1,8,8,{ZA6:2;ZA1:6;ZA3:6;ZA4:6;ZA2:1;ZA8:2;ZA7:6;ZA5:3},{ZA1:8;ZA6:8;ZA3:6;ZA5:18;ZA4:11;ZA2:26;ZA7:4;ZA8:5}
MRT-PPT 1,4,4,{ZA1:2;ZA3:2;ZA4:2;ZA2:2},{ZA1:8;ZA3:9;ZA4:3;ZA2:12}
MSE-PPT 1,7,7,{ZA5:8;ZA3:8;ZA6:8;ZA1:8;ZA7:4;ZA2:2;ZA4:2},{ZA1:7;ZA6:4;ZA5:7;ZA3:8;ZA7:6;ZA4:24;ZA2:16}
MSO-PPT 1,5,5,{ZA2:6;ZA4:18;ZA5:3;ZA3:3;ZA1:9},{ZA5:8;ZA3:26;ZA1:6;ZA2:8;ZA4:3}
MTF-PPT 1,2,2,{ZA1:2;ZA2:4},{ZA1:26;ZA2:6}
MTN-PPT 1,2,2,{ZA2:8;ZA1:16},{ZA2:16;ZA1:12}
MTT-PPT 1,5,5,{ZA4:4;ZA2:2;ZA1:4;ZA5:2;ZA3:4},{ZA1:4;ZA3:4;ZA5:4;ZA4:4;ZA2:12}
MTW-PPT 1,6,6,{ZA5:2;ZA3:4;ZA6:4;ZA1:2;ZA2:4;ZA4:2},{ZA3:4;ZA5:4;ZA6:4;ZA1:8;ZA2:4;ZA4:10}
